Who	Type	Date	Dream	UNM	LAB	FD	SFP	PA	UDM	OTH	Days_to_elections	weight
R2	Exit poll	10/8/2016	0.399	0.32	0.036	0.041	0.031	0.043	0.029	0.098	1	1
TV Consortium	Exit poll	10/8/2016	0.538	0.195	0.031	0.04	0.027	0.05	0.023	0.082	1	1
Imedi	27 September - 3 October	10/3/2016	0.563	0.203	0.047	0.063	0.031	0.031	0.031	0.031	5	0.2
IPN	43006	9/28/2016	0.511	0.168	0.045	0.051	0.042	0.05	0.036	0.097	10	0.1
R2	12-25 September	9/25/2016	0.394	0.404	0.059	0.056	0.04	0.023	0.023	0	13	0.077
Imedi	16-25 September	9/25/2016	0.557	0.218	0.049	0.051	0.036	0.037	0.029	0.022	12	0.083
WPA	7-11 September	9/11/2016	0.397	0.19	0.063	0.032	0.016	0.254	0.048	0	28	0.036
IPN	42986	9/8/2016	0.445	0.213	0.049	0.038	0.053	0.047	0.042	0.112	28	0.036
Imedi	18-27 August	8/27/2016	0.478	0.239	0.06	0.06	0.045	0.03	0.03	0.06	42	0.024
R2	2-8 August	8/8/2016	0.37	0.366	0.053	0.042	0.098	0.023	0.02	0.029	63	0.016
R2	7-22 June	7/22/2016	0.346	0.335	0.043	0.096	0.121	0.034	0.025	0	126	0.008